,一级标签,二级标签,药材名,出处,简介,药性,功效,治法,应用,合成,用法用量,使用注意,现代研究,附药
86,清热药,清热凉血药,牡丹皮,《神农本草经》）,本品为毛茛科植物牡丹的干燥根皮。主产于安徽、四川、湖南、湖北、陕西。秋季采挖根部，除去细根，剥取根皮，晒干或刮去粗皮，除去木心，晒干。前者习称连丹皮，后者习称刮丹皮。本品气芳香，味微苦而涩。以皮厚、切面粉白色、粉性足、香气浓者佳。生用或酒炙用。,苦、辛，微寒。归心、肝、肾经。,清热凉血，活血化瘀。,"清热凉血,活血化瘀",1.热入营血，温毒发斑，血热吐衄本品苦寒，入心肝血分，善于清解营血分实热。治温病热入营血，迫血妄行所致发斑、吐血、衄血，常与水牛角、生地黄、赤芍等同用，如犀角地黄汤（《千金方》）；治温毒发斑，可配伍栀子、大黄、黄芩等药；若用治血热吐衄，又常与大黄、大蓟、茜草根等药同用，如十灰散（《十药神书》）。2.温邪伤阴，阴虚发热，夜热早凉，无汗骨蒸本品性味苦辛寒，入血分而善于清透阴分伏热，为治无汗骨蒸之要药。用治温病后期，邪伏阴分，夜热早凉，热退无汗者，常配鳖甲、知母、生地黄等药，如青蒿鳖甲汤（《温病条辨》）。若阴虚内热，无汗骨蒸者，常与生地黄、麦冬等药同用。3.血滞经闭痛经，跌扑伤痛本品辛行苦泄，有活血祛瘀之功。治血滞经闭、痛经，可配桃仁、川芎、桂枝等药，如桂枝茯苓丸（《金匮要略》）；治跌扑伤痛，可与红花、乳香、没药等同用。4.痈肿疮毒本品苦寒，清热凉血之中，善于散瘀消痈。治热毒痈肿疮毒，可配大黄、白芷、甘草等药用；若配大黄、桃仁、芒硝等药，可治瘀热互结之肠痈初起，如大黄牡丹汤（《金匮要略》）。,"犀角地黄汤,十灰散,青蒿鳖甲汤,桂枝茯苓丸,大黄牡丹汤",煎服，6～12g。清热凉血宜生用，活血化瘀宜酒炙用，止血宜炒炭用。,血虚有寒、月经过多者不宜使用。孕妇慎用。,丹皮酚对多种实验性动物炎症有显著的抑制作用，对霍乱、伤寒、副伤寒三联菌引起的发热有解热作用，并具有镇静作用；丹皮总苷还具有显著的抗惊厥作用。牡丹皮水煎剂对痢疾杆菌、伤寒杆菌、小芽孢杆菌等致病细菌及多种皮肤真菌均有抑制作用。牡丹皮提取物、丹皮酚、芍药苷、苯甲酰芍药苷、苯甲酰氧化芍药苷能抑制血小板聚集，具有抗血栓作用。此外，还具有镇痛、抗过敏、抗心脑缺血、抗动脉粥样硬化、抗心律失常、降压、调节免疫、保肝、护肾、抗肿瘤等作用。,
87,清热药,清热凉血药,赤芍,《开宝本草》）,本品为毛茛科植物芍药或川赤芍的干燥根。主产于内蒙古、辽宁、河北、四川。春、秋二季采挖，除去根茎、须根及泥沙，晒干。本品气微香，味微苦、微涩。以切面粉白色者为佳。切厚片，生用。,苦、微寒。归肝经,清热凉血，散瘀止痛。,清热凉血,1.热入营血，温毒发斑，血热吐衄本品苦寒，入肝经血分，善清泻肝火，泄血分郁热。治温热病热入营血，迫血妄行之吐血衄血、斑疹紫暗者，常与水牛角、赤芍、牡丹皮等同用，如犀角地黄汤（《千金方》）；治温毒发斑，血热毒盛，斑疹紫黑者，常配伍紫草、蝉蜕、甘草等药，如紫草快斑汤（《张氏医通》）；若治血热吐衄，可配伍生地黄、大黄、白茅根等药。2.目赤肿痛，痈肿疮疡本品苦寒，入肝经而清肝火，若配伍荆芥、薄荷、黄芩等药，可用治肝经风热目赤肿痛、羞明多眵；取本品清热凉血、散瘀消肿之功，治热毒壅盛，痈肿疮疡，可配金银花、天花粉、乳香等药，如仙方活命饮（《校注妇人良方》），或配连翘、栀子、玄参等药，如连翘败毒散（《伤寒全生集》）。3.肝郁胁痛，经闭痛经，癥瘕腹痛，跌扑损伤本品苦寒，入肝经血分，有活血化瘀止痛之功。治肝郁血滞之胁痛，可配伍柴胡、牡丹皮、郁金等药；治血滞经闭痛经，癥瘕腹痛，常配伍当归、川芎、延胡索等药，如少腹逐瘀汤（《医林改错》）；治跌打损伤，瘀肿疼痛，可与虎杖、苏木、刘寄奴等同用。,"犀角地黄汤,紫草快斑汤,仙方活命饮,连翘败毒散,少腹逐瘀汤",煎服，6～12g。,血寒经闭者不宜使用。孕妇慎用。不宜与藜芦同用。,芍药苷对不同佐剂诱发的关节炎有显著的抑制作用，并能改善IgE复合体诱异的过敏炎症反应；芍药苷有解热镇痛、镇静等作用；丹皮酚等多元酚类具有抗血小板聚集、抗血栓形成、抗心肌缺血、改善微循环等作用。此外，还具有保肝护肝、抗胃溃疡、调节免疫、抗氧化、抗肿瘤、抗抑郁、保护神经细胞、改善学习记忆等作用。,
88,清热药,清热凉血药,紫草,《神农本草经》）,本品为紫草科植物新疆紫草或内蒙紫草的干燥根，主产于新疆、内蒙古。春、秋二季采挖，除去泥沙，干燥。本品气特异，味微苦、涩。以质松软、色紫色者为佳。生用。,甘、咸，寒。归心、肝经。,清热凉血，活血解毒，透疹消斑。,"清热凉血,活血解毒",1.血热毒盛，斑疹紫黑，麻疹不透本品咸寒，入肝经血分，既能凉血活血，又善解毒透疹。治温毒发斑，血热毒盛，斑疹紫黑者，常配伍赤芍、蝉蜕、甘草等药，如紫草快斑汤（《张氏医通》）；若配伍牛蒡子、薄荷、山豆根等药，可治麻疹不透，疹色紫暗，兼咽喉肿痛者。2.疮疡，湿疹，水火烫伤本品甘寒能清热解毒，咸寒能清热凉血，并能活血消肿。治痈肿疮疡，常与银花、连翘、蒲公英等药同用；若配伍当归、白芷、血竭等药，可治疮疡久溃不敛，如生肌玉红膏（《外科正宗》）。治湿疹，可配伍黄连、黄柏、苦参等药。若治烧烫伤，可将本品用植物油浸泡，滤取油液，外涂患处，或配黄柏、大黄等药，麻油熬膏外搽。,"紫草快斑汤,生肌玉红膏",煎服，5～10g。外用适量，熬膏或用植物油浸泡涂擦。,本品性寒而滑利，有轻泻作用，故脾虚便溏者忌服。,紫草水煎液、醇、油溶液及紫草素对金黄色葡萄球菌、溶血性链球菌、大肠杆菌、痢疾杆菌、绿脓杆菌等均具有抑制作用；其萘醌衍生物具有显著的抗真菌作用；紫草素具有明显的抗炎作用，对副流感病毒、单纯疱疹病毒、带状疱疹病毒等亦有抑制作用；紫草提取物对特异性过敏反应具有抑制作用；紫草素对烧烫伤、创伤有愈合作用。此外，还具有抗肿瘤、保肝、止血、抗生育等作用。,附药：紫草茸本品为紫胶虫科昆虫紫胶虫LacciferLaccakerr.在树枝上所分泌的胶质物。主产于云南、四川、台湾等地。7～8月间采收，置干燥、阴凉通风处直至干燥。性味苦，寒。功能清热，凉血，解毒。主治麻疹、斑疹透发不畅，疮疡肿毒，湿疹。本品作用与紫草相似，但无滑肠通便之弊。煎服，1.5～6g，或研末服。外用适量，研末撒。
89,清热药,清热凉血药,水牛角,《名医别录》）,本品为牛科动物水牛的角。主产于华南、华东地区。取角后，水煮，除去角塞，干燥。本品气微腥，味淡。以色灰褐色者为佳。镑片或锉成粗粉，生用；或制为浓缩粉用。,苦，寒。归心、肝经。,清热凉血，解毒，定惊。,清热凉血,1.温病高热，神昏谵语，惊风，癫狂本品苦寒，入心肝血分，既能清热凉血、泻火解毒，又能定惊。治温热病热入营血，高热神昏谵语，惊风抽搐，可配伍石膏、玄参、羚羊角等药，如紫雪丹（《外台秘要》）。若配伍牛黄、珍珠母、黄芩等药，可治热病神昏，或中风偏瘫，神志不清，如清开灵口服液（《中华人民共和国药典·一部》2015年版）；若治癫狂，可配伍石菖蒲、郁金、玄参等药。2.血热毒盛，发斑发疹，吐血衄血取本品清热凉血之功，用治血热毒盛，发斑发疹，吐血衄血，常配伍生地黄、牡丹皮、赤芍等药。3.痈肿疮疡，咽喉肿痛取本品清热解毒之功，用治热毒疮痈，咽喉肿痛，可配伍黄连、黄芩、连翘等药。,"紫雪丹,清开灵口服液",煎服，15～30g，宜先煎3小时以上。水牛角浓缩粉冲服，每次1.5～3g，每日2次。,脾胃虚寒者忌用。,水牛角粉及提液均有明显的解热、镇静、抗惊厥作用；水牛角粉、水提液、酶解液能明显降低大肠杆菌内毒素或脂多糖引起的小鼠死亡率，具有显著的抗感染作用；水牛角水解物能缩短出血时间，降低毛细血管通透性，升高血小板而呈现明显的止血作用。此外，还具有强心、降血压、兴奋垂体-肾上腺皮质系统等作用。,
90,清热药,清虚热药,青蒿,《神农本草经》）,本品为菊科植物黄花蒿的干燥地上部分。全国大部分地区均产。秋季花盛开时采割，除去老茎，阴干。切段。本品气香特异，味微苦。以色绿、质嫩、叶多、香气浓郁者为佳。生用。,苦、辛，寒。归肝、胆经。,清虚热，除骨蒸，解暑热，截疟，退黄。,,1.温邪伤阴，夜热早凉本品苦寒清热，辛香透散，善入阴分，长于清透阴分伏热。治疗温病后期，余热未清，阴液已伤，见夜热早凉，热退无汗，或低热不退等，常配伍鳖甲、知母、牡丹皮等，如青蒿鳖甲汤（《温病条辨》）。2.阴虚发热，骨蒸劳热本品有退虚热、除骨蒸的作用。为清虚热要药。治疗阴虚发热，骨蒸劳热、五心烦热、舌红少苔者，常配伍银柴胡、胡黄连、鳖甲等，如清骨散（《证治准绳》）。3.外感暑热，发热烦渴本品辛香发散，性寒，善于清解暑热。治疗外感暑热，头痛头昏、发热口渴等，常与西瓜翠衣、茯苓、滑石等同用，如清凉涤暑汤（《时病论》）。4.疟疾寒热本品辛寒芳香，主入肝、胆经，善截疟，消除寒热，为治疟疾寒热之要药。治疗疟疾寒热往来，《肘后方》中记载“青蒿一握。以水二升浸，绞取汁，尽服之。”临床也可与柴胡、黄芩、草果等同用。本品芳香透散，长于清解肝胆之热邪，常配伍黄芩、竹茹、半夏等，治疗湿热郁遏少阳，三焦气机不畅，寒热如疟，胸膈胀闷，如蒿芩清胆汤（《重订通俗伤寒论》）。5.湿热黄疸本品苦寒，主入肝、胆经，能利胆退黄。治疗湿热黄疸，见一身面目俱黄、黄色鲜明、舌苔黄腻者，常与茵陈、大黄、栀子等清热利湿退黄之品同用。,"青蒿鳖甲汤,清骨散,清凉涤暑汤,蒿芩清胆汤",煎服，6～12g，后下。或鲜用绞汁。,本品苦寒，脾胃虚弱，肠滑泄泻者忌用。,青蒿素有显著抗疟作用，对血吸虫成虫有明显的杀灭作用。水煎剂对表皮葡萄球菌、卡他球菌、炭疽杆菌、白喉杆菌等有较强的抑菌作用，对金黄色葡萄球菌、绿脓杆菌、痢疾杆菌、结核杆菌等也有一定的抑制作用。挥发油对皮肤癣菌有抑制和杀灭作用。乙醇提取物对钩端螺旋体有抑制作用。青蒿素、β-谷甾醇、豆甾醇均有抗病毒作用。有利胆、解热、镇痛、抗炎、抗肿瘤等作用。挥发油有镇咳、祛痰、平喘作用。此外，尚有降压、抗心律失常等作用。,
91,清热药,清虚热药,白薇,《神农本草经》）,本品为萝摩科植物白薇或蔓生白薇的干燥根和根茎。主产于安徽、河北、辽宁。春、秋二季采挖，洗净，干燥。切段。本品气微，味微苦。以根细长、心实、色淡黄者为佳。生用。,苦、咸，寒。归胃、肝、肾经。,清热凉血，利尿通淋，解毒疗疮。,清热凉血,1.阴虚发热，骨蒸劳热，产后血虚发热，温邪伤营发热本品苦咸性寒，善入血分，有退虚热、凉血清热之功。治疗阴虚发热，骨蒸潮热，常配伍生地黄、知母、地骨皮等滋阴清虚热之品。治疗产后血虚发热，低热不退，常与当归、人参等补益气血之品同用。治疗温热病后期，余热未尽，耗伤阴液，见夜热早凉者，常与生地、玄参、青蒿等同用。2.热淋，血淋本品既能清热凉血，又能利尿通淋。治疗热淋，血淋，常与滑石、车前子、木通等利尿通淋之品配伍。3.痈疽肿毒，蛇虫咬伤，咽喉肿痛本品有清热解毒，消肿疗疮之功，内服或外用均可。治疗热毒疮痈，可单用捣烂外敷；或配伍金银花、蒲公英等清热解毒药内服。治疗热毒壅盛咽喉肿痛，常与山豆根、射干、连翘等清热解毒利咽之品同用。4.阴虚外感本品能清泄肺热而透邪，清退虚热而护阴，治疗阴虚外感，发热咽干，口渴心烦，常与玉竹、薄荷、淡豆豉等配伍，如加减葳蕤汤（《通俗伤寒论》）。,加减葳蕤汤,煎服，5～10g。外用适量。,本品苦寒，脾胃虚寒、食少便溏者不宜服用。,本品有抗炎、解热、利尿等作用。水提取物有祛痰、平喘作用。对肺炎球菌有抑制作用。所含白薇苷有明显抗肿瘤作用，白薇皂苷能增强心肌收缩，减慢心率。,
92,清热药,清虚热药,地骨皮,《神农本草经》）,本品为茄科植物枸杞或宁夏枸杞的干燥根皮。全国大部分地区均产。春初或秋后采挖根部，洗净，剥取根皮，晒干。切段。本品气微，味微甘而后苦。以块大、肉厚、无木心、色黄者为佳。生用。,甘，寒。归肺、肝、肾经。,凉血除蒸，清肺降火。,,1.阴虚潮热，骨蒸盗汗本品甘寒清润，入肝、肾经，善清虚热、除骨蒸，为凉血退热除蒸之佳品。治疗阴虚发热，骨蒸潮热、盗汗等，常与知母、鳖甲等清热养阴药配伍。2.肺热咳嗽本品性寒，入肺经，能清泄肺热。治疗肺火郁结，气逆不降之咳嗽气喘，常与桑白皮、甘草配伍，如泻白散（《小儿药证直诀》）。3.血热咳血衄血本品甘寒，入血分能清热凉血以止血。治疗血热妄行之咳血、吐血、衄血、尿血等，常配伍小蓟、侧柏叶、白茅根等凉血止血药。4.内热消渴本品能清热泄火而生津止渴。治疗内热消渴，常与天花粉、生地、麦冬等同用。,泻白散,煎服，9～15g。,本品性寒，外感风寒发热或脾虚便溏者不宜用。,本品乙醇提取物、水提取物及乙醚残渣水提取物等均有显著的解热作用。其煎剂、浸膏有降压、降血糖、降血脂作用。对多种细菌、真菌及病毒有抑制作用。有促进成骨细胞增殖作用。注射液对离体子宫有兴奋作用。此外，尚有止痛作用。,
93,清热药,清虚热药,银柴胡,《本草纲目》）,本品为石竹科植物银柴胡的干燥根。主产于宁夏、甘肃、内蒙古等地。春、夏间植株萌发或秋后茎叶枯萎时采挖；栽培品于种植后第三年9月中旬或第四年4月中旬采挖，除去残茎、须根及泥沙，切片，晒干。本品气微，味甘。以根长、外皮棕黄色、切面黄白色者为佳。生用。,甘，微寒。归肝、胃经。,清虚热，除疳热。,,1.阴虚发热，骨蒸劳热本品甘微寒，善清虚热，为退虚热、除骨蒸之常用药。治疗阴虚发热，骨蒸劳热，潮热盗汗，常与地骨皮、青蒿、鳖甲等同用，如清骨散（《证治准绳》）。2.小儿疳积发热本品甘微寒，善于清虚热、除疳热。治疗小儿食滞或虫积所致的疳积发热、腹部膨大、口渴消瘦、毛发干枯等，常与胡黄连、鸡内金、使君子等消积除疳之品同用。,清骨散,煎服，3～10g。,外感风寒、血虚无热者不宜使用。,本品有解热、抗炎、抗动脉粥样硬化作用。,
94,清热药,清虚热药,胡黄连,《新修本草》）,本品为玄参科植物胡黄连的干燥根茎。主产于印度、印度尼西亚。我国主产于西藏。秋季采挖，除去须根和泥沙，晒干。切薄片或用时捣碎。本品气微，味极苦。以根茎粗大、切面灰黑色、味苦者为佳。生用。,苦，寒。归肝、胃、大肠经。,退虚热，除疳热，清湿热。,,1.阴虚发热，骨蒸潮热本品苦寒，善清退阴分伏热，有退虚热、除骨蒸之功。治疗阴虚发热，骨蒸潮热，常与鳖甲、知母、地骨皮等滋阴清虚热药配伍，如清骨散（《证治准绳》）。2.小儿疳积发热本品长于除疳热。治疗小儿疳积发热，腹胀消瘦，低热不退，常与山楂、党参、白术等益气健脾之品同用，如肥儿丸（《万病回春》）。3.湿热泻痢，黄疸尿赤，痔疮肿痛本品苦寒沉降，入胃、大肠经，功能清热燥湿，尤善清下焦湿热，功似黄连而力稍逊。治疗湿热泻痢，常与黄柏、白头翁等清热燥湿止痢之品同用。又入肝经，兼能清利肝经湿热，治疗湿热黄疸尿赤，常与茵陈、栀子、大黄等同用。治疗痔疮肿痛，可单用本品研末，鹅胆汁调涂局部；或配伍槐角、黄连等内服。,"清骨散,肥儿丸",煎服，3～10g。,本品苦寒，脾胃虚寒者慎用。,本品水浸剂对多种皮肤真菌有不同程度的抑制作用。提取物有保肝、利胆、抗炎、抗氧化等作用。此外，尚有降脂、降糖、抗胃溃疡、抗肿瘤、促进伤口愈合等作用。,
95,泻下药,攻下药,大黄,《神农本草经》）,本品为蓼科植物掌叶大黄、唐古特大黄或药用大黄的干燥根和根茎。掌叶大黄和唐古特大黄药材称北大黄，主产于青海、甘肃。药用大黄药材称南大黄，主产于四川。秋末茎叶枯萎或次春发芽前采挖，除去细根，刮去外皮，切瓣或段，绳穿成串，干燥，或直接干燥。本品气清香，味苦而微涩。以切面锦纹明显、气清香、味苦而微涩者为佳。生用，或酒炙饮片称酒大黄，酒炖或蒸饮片称熟大黄，炒炭饮片称大黄炭用。,苦，寒。归脾、胃、大肠、肝、心包经。,泻下攻积，清热泻火，凉血解毒，止血，逐瘀通经，利湿退黄。,"清热泻火,凉血解毒",1.实热积滞便秘本品有较强的泻下作用，能荡涤肠胃，推陈致新，为治疗积滞便秘之要药，《药品化义》谓：“大黄气味重浊，直降下行，走而不守，有斩关夺门之力，故号将军。”又因其苦寒沉降，善能泄热，故实热积滞之便秘尤为适宜。常与芒硝、厚朴、枳实等配伍，以增强泻下攻积之力，用治阳明腑实证，如大承气汤（《伤寒论》）。若大黄用量较轻，则泻下力缓和，与麻仁、杏仁、蜂蜜等润肠药同用，方如麻子仁丸（《伤寒论》）。若里实热结而正气虚者，当与补虚药配伍，以攻补兼施，标本并顾。如配人参、当归等药，可治里实热结而气血不足者，方如黄龙汤（《伤寒六书》）；如配麦冬、生地、玄参等，可治热结津伤者，方如增液承气汤（《温病条辨》）；若与附子、干姜等配伍，可治脾阳不足，冷积便秘，如温脾汤（《千金要方》）。2.血热吐衄，目赤咽肿，牙龈肿痛本品苦降，能使上炎之火下泄，具有清热泻火，凉血止血之功。治疗血热妄行之吐血、衄血、咳血，常与黄连、黄芩等同用，如泻心汤（《金匮要略》）。现代临床单用大黄粉治疗上消化道出血，有较好疗效。若治火邪上炎所致的目赤、咽喉肿痛、牙龈肿痛等证，还可与黄芩、栀子等药同用，如凉膈散（《和剂局方》）。3.痈肿疔疮，肠痈腹痛本品内服能清热凉血解毒，并借其泻下通便作用，使热毒下泄。治热毒痈肿疔疮，常与金银花、蒲公英、连翘等同用；治疗肠痈腹痛，可与牡丹皮、桃仁、芒硝等同用，如大黄牡丹汤（《金匮要略》）。本品外用也能泻火解毒，凉血消肿，治热毒痈肿疔疖，《妇人良方》以之与生甘草共研末，酒熬成膏外敷；《圣惠方》用治口疮糜烂，以之与枯矾等份为末擦患处。4.瘀血经闭，产后瘀阻，跌打损伤本品有较好的活血逐瘀通经作用，既可下瘀血，又能清瘀热，为治疗瘀血证的常用药。治妇女产后瘀阻腹痛、恶露不尽者，常与桃仁、土鳖虫等同用，如下瘀血汤（《金匮要略》）；治妇女瘀血经闭，可与桃仁、桂枝等配伍，如桃核承气汤（《伤寒论》）；治跌打损伤，瘀血肿痛，常与当归、红花、穿山甲等同用，如复元活血汤（《医学发明》）。5.湿热痢疾，黄疸尿赤，淋证，水肿本品泻下通便，能异湿热外出。治肠道湿热积滞之痢疾，可与黄连、黄芩、芍药等同用；用治肝胆湿热蕴结之黄疸、尿赤者，常配茵陈、栀子，如茵陈蒿汤（《伤寒论》）；若治湿热淋证，水肿，小便不利，常配伍木通、车前子、栀子等，如八正散（《和剂局方》）。6.烧烫伤本品苦寒，清热泻火，凉血解毒，外用治烧烫伤，可单用粉，或配地榆粉，麻油调敷患处。此外，大黄可“破痰实”，通脏腑，降湿浊，用于老痰壅塞，喘逆不得平卧，大便秘结者，如礞石滚痰丸（《泰定养生主论》录自《玉机微义》）。,"大承气汤,麻子仁丸,黄龙汤,增液承气汤,温脾汤,泻心汤,凉膈散,大黄牡丹汤,下瘀血汤,桃核承气汤,复元活血汤,茵陈蒿汤,八正散,礞石滚痰丸",煎服，3～15g。外用适量，研末敷于患处。生大黄泻下力较强，欲攻下者宜生用，入汤剂不宜久煎，或用开水泡服，久煎则泻下力减弱。酒大黄善清上焦血分热毒，用于目赤咽肿，齿龈肿痛；熟大黄泻下力缓，泻火解毒，用于火毒疮疡。大黄炭凉血化瘀止血，用于血热有瘀出血证。,孕妇及月经期、哺乳期慎用。又本品苦寒，易伤胃气，脾胃虚弱者亦应慎用。,大黄能增加肠蠕动，抑制肠内水分吸收，促进排便；大黄有抗感染作用，对多种革兰阳性和阴性细菌均有抑制作用，其中最敏感的为葡萄球菌和链球菌，其次为白喉杆菌、伤寒和副伤寒杆菌、肺炎双球菌、痢疾杆菌等；对流感病毒也有抑制作用；由于鞣质所致，故泻后又有便秘现象；有利胆和健胃作用；此外，还有止血、保肝、降压、降低血清胆固醇等作用。,
96,泻下药,攻下药,芒硝,《名医别录》）,本品为硫酸盐类矿物芒硝族芒硝，经加工精制而成的结晶体。主含含水硫酸钠24·102。主产于沿海各产盐区及四川、内蒙古、新疆等内陆盐湖。将天然芒硝朴硝用热水溶解，滤过，放冷析出结晶，通称“皮硝”。取适量鲜萝卜，洗净，切成片，置锅中，加适量水煮透，捞出萝卜，再投入适量天然芒硝共煮，至全部溶化，取出过滤或澄清以后取上清液，放冷，待结晶大部分析出，取出置避风处适当干燥，即为芒硝，其结晶母液经浓缩后可续续析出结晶，直至不再析出结晶为止。芒硝经风化失去结晶水而成白色粉末称玄明粉元明粉。本品味咸、微苦。以类白色、透明、呈结晶块状者为佳。,咸、苦，寒。归胃、大肠经。,泻下通便，润燥软坚，清火消肿。,,1.实热积滞，腹满胀痛，大便燥结本品能泻下攻积，且性寒能清热，味咸润燥软坚，对实热积滞，腹满胀痛，大便燥结者尤为适宜，常与大黄相须为用，以增强泻下通便作用，如大承气汤、调胃承气汤（《伤寒论》）。2.肠痈腹痛本品泻下通便，清火消肿，治疗肠痈腹痛，可与大黄、牡丹皮、桃仁等同用，如大黄牡丹汤（《金匮要略》）；肠痈初起，也可与大黄、大蒜同用，捣烂外敷。3.乳痈，痔疮肿痛，咽痛口疮，目赤肿痛本品外用有清火消肿作用。治乳痈初起，可用本品化水或用纱布包裹外敷；治痔疮肿痛，可单用本品煎汤外洗；治咽喉肿痛、口舌生疮，可与硼砂、冰片、朱砂等同用，如冰硼散（《外科正宗》），或以芒硝置西瓜中制成的西瓜霜外用；治目赤肿痛，可用芒硝置豆腐上化水或用玄明粉配制眼药水，外用滴眼。,"大黄牡丹汤,冰硼散",6～12g，一般不入煎剂，待汤剂煎好后，溶入汤液中服用。外用适量。,孕妇、哺乳期慎用；不宜与硫黄、三棱同用。,芒硝所含的主要成分硫酸钠，其硫酸根离子不易被肠壁吸收，存留肠内形成高渗溶液，阻止肠内水分的吸收，使肠内容积增大，引起机械刺激，促进肠蠕动而致泻。,
97,泻下药,攻下药,番泻叶,《饮片新参》）,本品为豆科植物狭叶番泻或尖叶番泻的干燥小叶。主产于印度，我国广东、广西、云南亦有栽培。通常于9月采收，晒干。本品气微弱而特异，味微苦，稍有黏性。以完整、叶形狭尖、色绿者为佳。生用。,甘、苦，寒。归大肠经。,泻热行滞，通便，利水。,,1.实热积滞，便秘腹痛本品苦寒降泄，既能泻下异滞，又能清异实热，适用于热结便秘，亦可用于习惯性便秘及老年便秘。大多单味泡服，小剂量可起缓泻作用，大剂量则可攻下；若热结便秘，腹满胀痛者，可与枳实、厚朴等配伍，以增强泻下异滞作用。2.水肿胀满本品能泻下行水消胀，用于水肿胀满，单味泡服，或与牵牛子、大腹皮等同用。,,煎服，2～6g，后下，或开水泡服。,孕妇及哺乳期、月经期慎用。剂量过大，可异致恶心、呕吐、腹痛等副作用。,番泻叶中含蒽醌衍生物，其泻下作用及刺激性比含蒽醌类之其他泻药更强，因而泻下时可伴有腹痛。其有效成分主要为番泻苷A、B，经胃、小肠吸收后，在肝中分解，分解产物经血行而兴奋骨盆神经节以收缩大肠，引起腹泻。蒽醌类对多种细菌（葡萄球菌、大肠杆菌等）及皮肤真菌有抑制作用。,
98,泻下药,攻下药,芦荟,《药性论》）,本品为百合科植物库拉素芦荟好望角芦荟或其他同属近缘植物叶的汁液浓缩干燥物。前者习称“老芦荟”，后者习称“新芦荟”。主产于南美洲北岸附近的库拉索，我国云南、广东、广西等地亦有栽培；后者主产于南非的开普州，我国海南等地亦有栽培。全年可采，割取植物的叶片，收集流出的液质，置锅内熬成稠膏，倾入容器，冷却凝固，即得。砸成小块用。本品有特殊臭气，味极苦。以色墨绿、质脆、有光泽、苦味浓者为佳。,苦，寒。归肝、胃、大肠经。,泻下通便，清肝泻火，杀虫疗疳。,,1.热结便秘本品苦寒降泄，既能泻下通便，又能清泻肝火，除烦热。治热结便秘，兼见心、肝火旺，烦躁失眠之证，常与朱砂同用，如更衣丸（《本草经疏》）。2.惊痫抽搐本品有较好的清泻肝火作用。用治肝经火盛的便秘溲赤、头晕头痛、烦躁易怒、惊痫抽搐，常与龙胆、栀子、青黛等同用，如当归龙荟丸（《医学六书》）。3.小儿疳积本品能杀虫疗疳。用治虫积腹痛、面色萎黄、形瘦体弱的小儿疳积证，以芦荟与使君子等份为末，米饮调服；或配人参、白术等益气健脾之品，如肥儿丸（《医宗金鉴》）。4.癣疮取本品杀虫止痒之效，外用治癣疮，研末调敷。,"更衣丸,当归龙荟丸,肥儿丸",2～5g，宜入丸散。外用适量，研末敷患处。,孕妇、哺乳期及脾胃虚弱、食少便溏者慎用。,芦荟蒽醌衍生物具有刺激性泻下作用，伴有显著腹痛和盆腔充血，严重时可引起肾炎。其提取物有抑制S180肉瘤和艾氏腹水癌的生长，并对离体蟾蜍心脏有抑制作用。水浸剂对多种皮肤真菌和人型结核杆菌有抑制作用。,
99,泻下药,润下药,火麻仁,《神农本草经》）,本品为桑科植物大麻的干燥成熟种子。主产于山东、河北、黑龙江、吉林、辽宁。秋季果实成熟时采收，除去杂质，晒干。本品气微，味淡。以种仁色乳白者为佳。生用或炒用，用时打碎。,甘，平。归脾、胃、大肠经。,润肠通便。,,血虚津亏，肠燥便秘本品甘平，质润多脂，能润肠通便，且又兼有滋养补虚作用。适用于老人、产妇、体弱等津血不足的肠燥便秘。《肘后方》单用本品研碎，以米杂之煮粥服。临床亦常与郁李仁、瓜蒌仁、苏子、杏仁等润肠通便药同用；或与大黄、厚朴等配伍，以加强通便作用，如麻子仁丸（《伤寒论》）。,麻子仁丸,煎服，10～15g。,,有润滑肠道的作用，同时在肠中遇碱性肠液后产生脂肪酸，刺激肠壁，使蠕动增强，从而达到通便作用。本品还能降低血压以及阻止血脂上升。,
100,泻下药,润下药,郁李仁,《神农本草经》）,本品为蔷薇科植物欧李、郁李或长柄扁桃的干燥成熟种子。前二种习称“小李仁”，后一种习称“大李仁”。主产于辽宁、吉林、黑龙江、内蒙古、河北。夏、秋二季采收成熟果实，除去果肉及核壳，取出种子，干燥。本品气微，味微苦。以粒饱满、色黄白、不泛油者为佳。生用，用时捣碎。,辛、苦、甘，平。归脾、大肠、小肠经。,润肠通便，下气利水。,,1.津枯肠燥，食积气滞，腹胀便秘本品质润多脂，润肠通便作用类似火麻仁而力较强，且润中兼可行大肠之气滞。常与火麻仁、柏子仁、杏仁等润肠通便药同用，用于津枯肠燥便秘之证，如五仁丸（《世医得效方》）。若食积气滞，腹胀便秘，可与枳实、厚朴、陈皮等药配伍；若与芒硝、当归、生地等配伍，可治产后肠胃燥热，大便秘结。2.水肿，脚气浮肿，小便不利本品能利水消肿，治疗水肿胀满，小便不利，可与桑白皮、赤小豆等利水消肿药同用。若脚气肿痛者，可与木瓜、蚕沙等药配伍。,五仁丸,煎服，6～10g。,孕妇慎用。,本品具有促进排便及抗炎、镇痛作用。,
